Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Andalucía;De 85 a 89 años;Hombres;2018;53,151
Andalucía;De 85 a 89 años;Mujeres;2021;2,184
Andalucía;De 85 a 89 años;Mujeres;2020;11,102
Andalucía;De 85 a 89 años;Mujeres;2019;2,251
Andalucía;De 85 a 89 años;Mujeres;2018;5,766
Andalucía;De 90 a 94 años;Total;2021;24,089
Andalucía;De 90 a 94 años;Total;2020;25,253
Andalucía;De 90 a 94 años;Total;2019;20,965
Andalucía;De 90 a 94 años;Total;2018;14,189
Andalucía;De 90 a 94 años;Hombres;2021;60,72
Andalucía;De 90 a 94 años;Hombres;2020;62,616
Andalucía;De 90 a 94 años;Hombres;2019;54,465
Andalucía;De 90 a 94 años;Hombres;2018;45,362
Andalucía;De 90 a 94 años;Mujeres;2021;7,499
Andalucía;De 90 a 94 años;Mujeres;2020;7,922
Andalucía;De 90 a 94 años;Mujeres;2019;5,564
Andalucía;De 90 a 94 años;Mujeres;2018;0
Andalucía;95 y más años;Total;2021;13,847
Andalucía;95 y más años;Total;2020;20,786
Andalucía;95 y más años;Total;2019;7,386
Andalucía;95 y más años;Total;2018;7,902
Andalucía;95 y más años;Hombres;2021;53,735
Andalucía;95 y más años;Hombres;2020;48,812
Andalucía;95 y más años;Hombres;2019;26,533
Andalucía;95 y más años;Hombres;2018;28,675
Andalucía;95 y más años;Mujeres;2021;0
Andalucía;95 y más años;Mujeres;2020;9,676
Andalucía;95 y más años;Mujeres;2019;0
Andalucía;95 y más años;Mujeres;2018;0
Aragón;Menos de 15 años;Total;2021;0,583
Aragón;Menos de 15 años;Total;2020;0,543
Aragón;Menos de 15 años;Total;2019;0
Aragón;Menos de 15 años;Total;2018;0
Aragón;Menos de 15 años;Hombres;2021;1,132
Aragón;Menos de 15 años;Hombres;2020;1,053
Aragón;Menos de 15 años;Hombres;2019;0
Aragón;Menos de 15 años;Hombres;2018;0
Aragón;Menos de 15 años;Mujeres;2021;0
Aragón;Menos de 15 años;Mujeres;2020;0
Aragón;Menos de 15 años;Mujeres;2019;0
Aragón;Menos de 15 años;Mujeres;2018;0
Aragón;De 15 a 29 años;Total;2021;6,607
Aragón;De 15 a 29 años;Total;2020;5,635
Aragón;De 15 a 29 años;Total;2019;5,75
Aragón;De 15 a 29 años;Total;2018;3,74
Aragón;De 15 a 29 años;Hombres;2021;10,815
Aragón;De 15 a 29 años;Hombres;2020;7,981
Aragón;De 15 a 29 años;Hombres;2019;8,152
Aragón;De 15 a 29 años;Hombres;2018;5,215
Aragón;De 15 a 29 años;Mujeres;2021;2,104
Aragón;De 15 a 29 años;Mujeres;2020;3,159
Aragón;De 15 a 29 años;Mujeres;2019;3,22
Aragón;De 15 a 29 años;Mujeres;2018;2,191
Aragón;De 30 a 39 años;Total;2021;7,605
Aragón;De 30 a 39 años;Total;2020;8,716
Aragón;De 30 a 39 años;Total;2019;6,693
Aragón;De 30 a 39 años;Total;2018;8,905
Aragón;De 30 a 39 años;Hombres;2021;13,668
Aragón;De 30 a 39 años;Hombres;2020;12,325
Aragón;De 30 a 39 años;Hombres;2019;8,434
Aragón;De 30 a 39 años;Hombres;2018;12,912
Aragón;De 30 a 39 años;Mujeres;2021;1,293
Aragón;De 30 a 39 años;Mujeres;2020;5,032
Aragón;De 30 a 39 años;Mujeres;2019;4,917
Aragón;De 30 a 39 años;Mujeres;2018;4,805
Aragón;De 40 a 44 años;Total;2021;7,625
Aragón;De 40 a 44 años;Total;2020;10,318
Aragón;De 40 a 44 años;Total;2019;12,965
Aragón;De 40 a 44 años;Total;2018;12,953
Aragón;De 40 a 44 años;Hombres;2021;9,333
Aragón;De 40 a 44 años;Hombres;2020;11,049
Aragón;De 40 a 44 años;Hombres;2019;18,073
Aragón;De 40 a 44 años;Hombres;2018;21,526
Aragón;De 40 a 44 años;Mujeres;2021;5,843
Aragón;De 40 a 44 años;Mujeres;2020;9,559
Aragón;De 40 a 44 años;Mujeres;2019;7,598
Aragón;De 40 a 44 años;Mujeres;2018;3,821
Aragón;De 45 a 49 años;Total;2021;10,982
Aragón;De 45 a 49 años;Total;2020;5,596
Aragón;De 45 a 49 años;Total;2019;10,411
Aragón;De 45 a 49 años;Total;2018;13,405
Aragón;De 45 a 49 años;Hombres;2021;16,008
Aragón;De 45 a 49 años;Hombres;2020;5,448
Aragón;De 45 a 49 años;Hombres;2019;18,442
Aragón;De 45 a 49 años;Hombres;2018;18,685
Aragón;De 45 a 49 años;Mujeres;2021;5,655
Aragón;De 45 a 49 años;Mujeres;2020;5,751
Aragón;De 45 a 49 años;Mujeres;2019;1,944
Aragón;De 45 a 49 años;Mujeres;2018;7,856
Aragón;De 50 a 54 años;Total;2021;11,606
Aragón;De 50 a 54 años;Total;2020;8,779
Aragón;De 50 a 54 años;Total;2019;5,898
Aragón;De 50 a 54 años;Total;2018;11,848
Aragón;De 50 a 54 años;Hombres;2021;13,369
Aragón;De 50 a 54 años;Hombres;2020;9,624
Aragón;De 50 a 54 años;Hombres;2019;11,629
Aragón;De 50 a 54 años;Hombres;2018;19,415
Aragón;De 50 a 54 años;Mujeres;2021;9,796
Aragón;De 50 a 54 años;Mujeres;2020;7,911
Aragón;De 50 a 54 años;Mujeres;2019;0
Aragón;De 50 a 54 años;Mujeres;2018;4,018
Aragón;De 55 a 59 años;Total;2021;14,253
Aragón;De 55 a 59 años;Total;2020;10,268
Aragón;De 55 a 59 años;Total;2019;11,462
Aragón;De 55 a 59 años;Total;2018;10,605
Aragón;De 55 a 59 años;Hombres;2021;20,148
Aragón;De 55 a 59 años;Hombres;2020;12,196
Aragón;De 55 a 59 años;Hombres;2019;16,517
Aragón;De 55 a 59 años;Hombres;2018;16,821
Aragón;De 55 a 59 años;Mujeres;2021;8,231
Aragón;De 55 a 59 años;Mujeres;2020;8,3
Aragón;De 55 a 59 años;Mujeres;2019;6,312
Aragón;De 55 a 59 años;Mujeres;2018;4,279
Aragón;De 60 a 64 años;Total;2021;7,874
Aragón;De 60 a 64 años;Total;2020;8,027
Aragón;De 60 a 64 años;Total;2019;7,123
Aragón;De 60 a 64 años;Total;2018;14,768
Aragón;De 60 a 64 años;Hombres;2021;13,655
Aragón;De 60 a 64 años;Hombres;2020;13,824
Aragón;De 60 a 64 años;Hombres;2019;9,542
Aragón;De 60 a 64 años;Hombres;2018;19,863
Aragón;De 60 a 64 años;Mujeres;2021;2,224
Aragón;De 60 a 64 años;Mujeres;2020;2,283
Aragón;De 60 a 64 años;Mujeres;2019;4,726
Aragón;De 60 a 64 años;Mujeres;2018;9,761
Aragón;De 65 a 69 años;Total;2021;8,139
Aragón;De 65 a 69 años;Total;2020;4,165
Aragón;De 65 a 69 años;Total;2019;15,515
Aragón;De 65 a 69 años;Total;2018;9,916
Aragón;De 65 a 69 años;Hombres;2021;11,248
Aragón;De 65 a 69 años;Hombres;2020;2,877
Aragón;De 65 a 69 años;Hombres;2019;26,346
Aragón;De 65 a 69 años;Hombres;2018;17,648
Aragón;De 65 a 69 años;Mujeres;2021;5,241
Aragón;De 65 a 69 años;Mujeres;2020;5,365
Aragón;De 65 a 69 años;Mujeres;2019;5,444
Aragón;De 65 a 69 años;Mujeres;2018;2,733
Aragón;De 70 a 74 años;Total;2021;6,122
Aragón;De 70 a 74 años;Total;2020;6,094
Aragón;De 70 a 74 años;Total;2019;7,661
Aragón;De 70 a 74 años;Total;2018;10,924
Aragón;De 70 a 74 años;Hombres;2021;9,829
Aragón;De 70 a 74 años;Hombres;2020;9,771
Aragón;De 70 a 74 años;Hombres;2019;3,271
Aragón;De 70 a 74 años;Hombres;2018;19,989
Aragón;De 70 a 74 años;Mujeres;2021;2,872
Aragón;De 70 a 74 años;Mujeres;2020;2,862
Aragón;De 70 a 74 años;Mujeres;2019;11,527
Aragón;De 70 a 74 años;Mujeres;2018;2,936
Aragón;De 75 a 79 años;Total;2021;16,354
Aragón;De 75 a 79 años;Total;2020;13,048
Aragón;De 75 a 79 años;Total;2019;13,63
Aragón;De 75 a 79 años;Total;2018;12,467
Aragón;De 75 a 79 años;Hombres;2021;32,42
Aragón;De 75 a 79 años;Hombres;2020;20,758
Aragón;De 75 a 79 años;Hombres;2019;21,76
Aragón;De 75 a 79 años;Hombres;2018;27,914
Aragón;De 75 a 79 años;Mujeres;2021;3,294
Aragón;De 75 a 79 años;Mujeres;2020;6,765
Aragón;De 75 a 79 años;Mujeres;2019;7,047
Aragón;De 75 a 79 años;Mujeres;2018;0
Aragón;De 80 a 84 años;Total;2021;15,181
Aragón;De 80 a 84 años;Total;2020;9,821
Aragón;De 80 a 84 años;Total;2019;18,794
